time,w_ref,w_means,error,u
14:04:52.400,30,34.8,-14.8,3.5
14:04:52.476,30,34.3,-14.3,3.5
14:04:52.566,30,36.4,-16.4,3
14:04:52.656,30,35.4,-15.4,3.3
14:04:52.731,30,34.1,-14.1,3.5
14:04:52.776,30,36.4,-16.4,3
14:04:52.881,30,34.8,-14.8,3.4
14:04:52.956,30,34.2,-14.2,3.4
14:04:53.017,30,36.8,-16.8,2.8
14:04:53.122,30,34.2,-14.2,3.4
14:04:53.196,30,34.3,-14.3,3.3
14:04:53.241,30,37.4,-17.4,2.6
14:04:53.333,30,34.1,-14.1,3.4
14:04:53.437,30,34.3,-14.3,3.3
14:04:53.486,30,37.4,-17.4,2.6
14:04:53.574,30,34.6,-14.6,3.3
14:04:53.662,30,34.2,-14.2,3.3
14:04:53.721,30,36.3,-16.3,2.8
14:04:53.811,30,35.1,-15.1,3.1
14:04:53.901,30,34.9,-14.9,3.1
14:04:53.946,30,35.8,-15.8,2.9
14:04:54.051,30,34.9,-14.9,3
14:04:54.112,30,35.6,-15.6,2.9
14:04:54.302,30,36.2,-16.2,2.7
14:04:54.279,30,34.4,-14.4,3.1
14:04:54.336,30,35.1,-15.1,2.9
14:04:54.443,30,36.7,-16.7,2.6
14:04:54.531,30,34.9,-14.9,3
14:04:54.591,30,34.1,-14.1,3.1
14:04:54.652,30,36.1,-16.1,2.6
14:04:54.757,30,35.7,-15.7,2.7
14:04:54.816,30,35.5,-15.5,2.8
14:04:54.906,30,35.1,-15.1,2.8
14:04:54.996,30,35.3,-15.3,2.8
14:04:55.071,30,36.2,-16.2,2.5
14:04:55.119,30,35.4,-15.4,2.7
14:04:55.221,30,34.7,-14.7,2.8
14:04:55.281,30,35.3,-15.3,2.7
14:04:55.371,30,36.2,-16.2,2.5
14:04:55.432,30,35.6,-15.6,2.6
14:04:55.521,30,34.8,-14.8,2.8
14:04:55.596,30,35.7,-15.7,2.5
14:04:55.687,30,36.1,-16.1,2.4
14:04:55.746,30,35.4,-15.4,2.6
14:04:55.837,30,34.9,-14.9,2.7
14:04:55.928,30,35.8,-15.8,2.4
14:04:56.016,30,36.2,-16.2,2.4
14:04:56.062,30,35.2,-15.2,2.6
14:04:56.138,30,35,-15,2.6
14:04:56.242,30,35.8,-15.8,2.4
14:04:56.315,30,36.1,-16.1,2.3
14:04:56.406,30,35.5,-15.5,2.4
14:04:56.450,30,34.8,-14.8,2.6
14:04:56.527,30,36.1,-16.1,2.2
14:04:56.619,30,36.7,-16.7,2.1
14:04:56.706,30,35,-15,2.5
14:04:56.796,30,34.9,-14.9,2.5
14:04:56.843,30,36.6,-16.6,2.1
14:04:56.930,30,36.1,-16.1,2.2
14:04:57.021,30,34.9,-14.9,2.4
14:04:57.082,30,35.5,-15.5,2.3
14:04:57.156,30,36.2,-16.2,2.1
14:04:57.232,30,36,-16,2.1
14:04:57.337,30,35.7,-15.7,2.2
14:04:57.382,30,35.2,-15.2,2.3
14:04:57.457,30,36.6,-16.6,1.9
14:04:57.561,30,36,-16,2.1
14:04:57.635,30,35,-15,2.3
14:04:57.696,30,35.7,-15.7,2.1
14:04:57.801,30,36.6,-16.6,1.9
14:04:57.878,30,36,-16,2
14:04:57.951,30,34.9,-14.9,2.2
14:04:58.042,30,36,-16,1.9
14:04:58.091,30,37.2,-17.2,1.7
14:04:58.192,30,35.4,-15.4,2.1
14:04:58.238,30,35.6,-15.6,2
14:04:58.344,30,36.3,-16.3,1.8
14:04:58.415,30,36.1,-16.1,1.9
14:04:58.475,30,37.3,-17.3,1.6
14:04:58.565,30,34.8,-14.8,2.2
14:04:58.660,30,35.4,-15.4,2
14:04:58.730,30,37.2,-17.2,1.5
14:04:58.789,30,35.3,-15.3,2
14:04:58.885,30,35.1,-15.1,2
14:04:58.973,30,37,-17,1.5
14:04:59.015,30,35.9,-15.9,1.8
14:04:59.106,30,35.8,-15.8,1.8
14:04:59.181,30,36.2,-16.2,1.7
14:04:59.285,30,36.2,-16.2,1.7
14:04:59.336,30,36.5,-16.5,1.6
14:04:59.436,30,36.4,-16.4,1.6
14:04:59.496,30,35.3,-15.3,1.8
14:04:59.592,30,36.8,-16.8,1.5
14:04:59.660,30,36.7,-16.7,1.5
14:04:59.757,30,35.5,-15.5,1.7
14:04:59.841,30,35.8,-15.8,1.6
14:04:59.871,30,36.6,-16.6,1.4
14:04:59.964,30,36,-16,1.6
14:05:00.051,30,36.1,-16.1,1.5
14:05:00.125,30,35.9,-15.9,1.5
14:05:00.215,30,36.2,-16.2,1.4
14:05:00.290,30,36.5,-16.5,1.4
14:05:00.352,30,36.2,-16.2,1.4
14:05:00.441,30,35.5,-15.5,1.5
14:05:00.500,30,37.1,-17.1,1.2
14:05:00.606,30,35.9,-15.9,1.4
14:05:00.652,30,35.3,-15.3,1.5
14:05:00.756,30,37.1,-17.1,1.1
14:05:00.847,30,36.6,-16.6,1.2
14:05:00.930,30,35.2,-15.2,1.5
14:05:00.982,30,36.5,-16.5,1.2
14:05:01.073,30,35.3,-15.3,1.4
14:05:01.162,30,35.7,-15.7,1.3
14:05:01.305,30,35.9,-15.9,1.2
14:05:01.315,30,36.6,-16.6,1.1
14:05:01.371,30,34.7,-14.7,1.5
14:05:01.477,30,36.4,-16.4,1.1
14:05:01.523,30,36.7,-16.7,1
14:05:01.598,30,35.2,-15.2,1.3
14:05:01.671,30,35.2,-15.2,1.3
14:05:01.765,30,37.2,-17.2,0.8
14:05:01.866,30,35.5,-15.5,1.2
14:05:01.943,30,36.1,-16.1,1
14:05:01.986,30,35.8,-15.8,1.1
14:05:02.077,30,35.7,-15.7,1.1
14:05:02.153,30,36.1,-16.1,1
14:05:02.256,30,36,-16,1
14:05:02.304,30,34.7,-14.7,1.2