time,Cds1,Cds2,ax,ay,az,gx,gy,gz,pitch_f
12:05:00.000,320,339,1.040771484,-0.021240234,-0.020751953,-22.96183206,-0.198473282,1.702290076,-0.025323179
12:05:00.076,323,340,1.041992188,-0.019042969,-0.041748047,-22.96183206,0.259541985,0.160305344,-0.044359276
12:05:00.152,320,341,1.041992188,-0.009765625,-0.038085938,-23.08396947,1.404580153,2.34351145,-0.047602088
12:05:00.228,318,340,1.036376953,-0.024169922,-0.024658203,-22.83969466,1.458015267,1.145038168,-0.052811074
12:05:00.304,319,338,1.036865234,-0.020019531,-0.038330078,-22.96183206,2.442748092,0.190839695,-0.048669495
12:05:00.380,315,339,1.039794922,-0.008300781,-0.034179688,-22.83969466,2.58778626,2.267175573,-0.040689363
12:05:00.456,314,339,1.030761719,-0.026855469,-0.036132813,-22.83969466,3.679389313,0.977099237,-0.024356766
12:05:00.533,315,337,1.041015625,-0.017089844,-0.0390625,-22.59541985,4.167938931,0.580152672,-0.003256344
12:05:00.609,310,338,1.040039063,-0.013427734,-0.032470703,-22.59541985,4.419847328,1.977099237,0.020780885
12:05:00.685,310,330,1.041992188,-0.033691406,-0.036621094,-22.71755725,5.244274809,0.86259542,0.049694819
12:05:00.761,311,337,1.047119141,-0.010986328,-0.038574219,-22.83969466,5.977099237,0.618320611,0.086686342
12:05:00.837,305,338,1.039306641,-0.015625,-0.033691406,-22.96183206,6.519083969,2.007633588,0.12871908
12:05:00.913,305,339,1.037597656,-0.022705078,-0.017578125,-22.71755725,7.045801527,1.015267176,0.174410939
12:05:00.989,306,338,1.035888672,-0.010253906,-0.043945313,-22.47328244,7.473282443,0.625954198,0.224599746
12:05:01.066,302,342,1.045410156,-0.021972656,-0.038330078,-22.71755725,8.091603053,2.129770992,0.279274083
12:05:01.142,301,341,1.049316406,-0.018066406,-0.023193359,-22.96183206,8.610687023,0.511450382,0.337992343
12:05:01.218,300,345,1.037597656,-0.016601563,-0.036132813,-22.96183206,9.259541985,0.900763359,0.402105484
12:05:01.294,300,346,1.035644531,-0.030517578,-0.023681641,-22.96183206,9.702290076,2.129770992,0.467649423
12:05:01.370,299,346,1.034179688,-0.026611328,-0.028564453,-22.83969466,9.977099237,0.282442748,0.53365851
12:05:01.446,301,351,1.041748047,-0.006591797,-0.037597656,-22.83969466,10.61068702,1.748091603,0.606286521
12:05:01.523,300,353,1.039550781,-0.026855469,-0.027832031,-22.83969466,10.92366412,1.465648855,0.679529625
12:05:01.599,300,355,1.041015625,-0.000488281,-0.038574219,-22.71755725,11.45038168,0.20610687,0.758817824
12:05:01.675,302,361,1.041259766,-0.028320313,-0.038085938,-22.96183206,11.78625954,2.549618321,0.838514725
12:05:01.751,304,365,1.039794922,-0.024414063,-0.018066406,-22.83969466,12.18320611,1.312977099,0.919827055
12:05:01.827,304,366,1.040771484,-0.0078125,-0.041503906,-23.08396947,7.984732824,0.748091603,0.959739308
12:05:01.903,304,367,1.040283203,-0.020263672,-0.032226563,-22.59541985,3.732824427,2.290076336,0.956931601
12:05:01.979,304,367,1.037841797,-0.017822266,-0.032958984,-22.83969466,-1.213740458,0.41221374,0.905759695
12:05:02.056,305,367,1.032958984,-0.017333984,-0.042480469,-23.08396947,-3.79389313,1.13740458,0.830422928
12:05:02.132,304,366,1.034423828,-0.022705078,-0.030517578,-22.83969466,-4.557251908,2.473282443,0.748579368
12:05:02.208,304,364,1.03515625,-0.017333984,-0.024169922,-22.71755725,-4.748091603,0.267175573,0.666647306
12:05:02.284,302,361,1.041259766,-0.028320313,-0.038085938,-22.96183206,11.78625954,2.549618321,0.838514725
12:05:02.360,304,365,1.039794922,-0.024414063,-0.018066406,-22.83969466,12.18320611,1.312977099,0.919827055
12:05:02.436,304,366,1.040771484,-0.0078125,-0.041503906,-23.08396947,7.984732824,0.748091603,0.959739308
12:05:02.513,304,367,1.040283203,-0.020263672,-0.032226563,-22.59541985,3.732824427,2.290076336,0.956931601
12:05:02.589,301,356,1.033447266,-0.008056641,-0.024414063,-22.83969466,-8.083969466,1.977099237,0.189433685
12:05:02.665,301,355,1.041992188,-0.018798828,-0.037353516,-22.71755725,-8.809160305,-0.022900763,0.080563245
12:05:02.741,301,353,1.038085938,-0.017089844,-0.034667969,-22.96183206,-9.664122137,2.389312977,-0.034518704
12:05:02.817,300,350,1.043212891,-0.013671875,-0.026367188,-22.83969466,-10.66412214,1.480916031,-0.156715463
12:05:02.893,300,350,1.036865234,-0.022216797,-0.043212891,-23.20610687,-11.21374046,-0.190839695,-0.282479195
12:05:02.969,300,346,1.036376953,-0.014892578,-0.031738281,-22.83969466,-12.10687023,2.954198473,-0.414222425
12:05:03.046,301,345,1.037353516,-0.020507813,-0.032226563,-22.59541985,-12.41221374,-0.007633588,-0.546717597
12:05:03.122,301,343,1.043212891,-0.024658203,-0.046630859,-22.96183206,-12.84732824,1.20610687,-0.681632069
12:05:03.198,302,342,1.03515625,-0.026123047,-0.034179688,-22.71755725,-13.69465649,2.717557252,-0.823054346
12:05:03.274,304,340,1.034423828,-0.020996094,-0.026367188,-22.59541985,-14.36641221,-0.358778626,-0.968473056
12:05:03.350,306,339,1.036621094,-0.016357422,-0.033203125,-22.71755725,-14.71755725,2.129770992,-1.11412054
12:05:03.426,309,340,1.035888672,-0.021484375,-0.03515625,-22.83969466,-15.45801527,2.190839695,-1.264409891
12:05:03.503,312,339,1.03125,-0.029785156,-0.041748047,-22.83969466,-15.87022901,-0.236641221,-1.416933432
12:05:03.579,316,341,1.042724609,0,-0.034667969,-22.96183206,-16.76335878,2.167938931,-1.572905797
12:05:03.655,317,340,1.039550781,-0.013916016,-0.018066406,-22.83969466,-12.48854962,1.534351145,-1.683393139
12:05:03.731,320,343,1.039794922,-0.0234375,-0.038330078,-22.96183206,-8,0.106870229,-1.748312488
12:05:03.807,318,341,1.034179688,-0.015136719,-0.035400391,-22.59541985,-3.427480916,2.908396947,-1.766779674
12:05:03.883,319,340,1.039306641,-0.016845703,-0.020996094,-22.83969466,-1.809160305,0.480916031,-1.768889839
12:05:03.959,318,340,1.039306641,-0.017578125,-0.043701172,-22.83969466,-0.732824427,0.801526718,-1.760374243
12:05:04.036,320,336,1.041503906,-0.015380859,-0.033691406,-22.83969466,0.007633588,2.809160305,-1.744493892
12:05:04.112,318,337,1.037109375,-0.021728516,-0.031494141,-22.71755725,0.282442748,0.259541985,-1.726698134
12:05:04.188,319,338,1.040039063,-0.018310547,-0.048583984,-22.83969466,0.404580153,1.312977099,-1.708090518
12:05:04.264,315,340,1.043457031,-0.019775391,-0.027832031,-22.71755725,1.595419847,2.946564885,-1.678367661
12:05:04.340,317,338,1.034667969,-0.022949219,-0.02734375,-22.71755725,1.702290076,0.160305344,-1.648724139
12:05:04.416,312,338,1.035400391,-0.016357422,-0.046630859,-22.96183206,2.625954198,1.954198473,-1.610369505
12:05:04.493,312,339,1.038574219,-0.018310547,-0.026611328,-22.47328244,2.900763359,2.213740458,-1.570072871
12:05:04.569,313,337,1.038818359,-0.024414063,-0.036132813,-22.47328244,3.664122137,0.091603053,-1.52375996
12:05:04.645,308,338,1.038818359,-0.010253906,-0.042480469,-23.08396947,4.480916031,1.946564885,-1.46939716
12:05:04.721,308,338,1.039794922,-0.016601563,-0.019287109,-22.83969466,4.740458015,1.312977099,-1.413404508
12:05:04.797,310,338,1.041259766,-0.029541016,-0.033203125,-22.83969466,5.458015267,0.595419847,-1.3527678
12:05:04.873,304,338,1.034423828,-0.008544922,-0.037353516,-22.71755725,5.778625954,1.328244275,-1.289038941
12:05:04.949,304,339,1.040527344,-0.024169922,-0.029785156,-22.71755725,6.358778626,1.480916031,-1.22156562
12:05:05.026,307,339,1.037841797,-0.017578125,-0.036865234,-22.71755725,6.923664122,0.374045802,-1.149782954
12:05:05.102,300,340,1.033447266,-0.005615234,-0.047851563,-22.83969466,7.442748092,1.641221374,-1.072925595
12:05:05.178,301,344,1.033935547,-0.015380859,-0.034179688,-22.96183206,8.015267176,1.114503817,-0.991791164
12:05:05.254,300,345,1.030761719,-0.025146484,-0.045898438,-22.59541985,8.603053435,0.877862595,-0.907419805
12:05:05.330,300,347,1.034179688,-0.006347656,-0.050537109,-22.71755725,8.885496183,1.954198473,-0.820694912
12:05:05.406,299,347,1.032958984,-0.017822266,-0.025878906,-22.71755725,9.488549618,0.748091603,-0.729920492
12:05:05.483,300,351,1.040039063,-0.009033203,-0.031738281,-22.71755725,10.22900763,0.916030534,-0.632834088
12:05:05.559,300,354,1.035400391,-0.02734375,-0.035400391,-22.47328244,10.26717557,2.366412214,-0.538562918
12:05:05.635,301,356,1.04296875,-0.041015625,-0.036132813,-22.83969466,11.04580153,0.564885496,-0.441164558
12:05:05.711,304,362,1.036621094,-0.017822266,-0.029052734,-22.83969466,11.27480916,0.954198473,-0.343276988
12:05:05.787,304,365,1.038085938,-0.015869141,-0.034179688,-22.71755725,11.61068702,1.816793893,-0.243662926
12:05:05.863,305,367,1.042724609,-0.029541016,-0.02734375,-22.96183206,7.458015267,0.801526718,-0.187884007
12:05:05.939,305,367,1.040527344,-0.012695313,-0.041259766,-22.71755725,3.099236641,1.152671756,-0.175113125
12:05:06.016,305,369,1.040039063,-0.018798828,-0.030273438,-22.71755725,-1.465648855,1.801526718,-0.207267662
12:05:06.092,305,366,1.032958984,-0.017089844,-0.031005859,-22.71755725,-4.519083969,0.511450382,-0.268469331
12:05:06.168,304,367,1.036865234,-0.013916016,-0.042724609,-22.96183206,-4.732824427,1.610687023,-0.329972447
12:05:06.244,305,366,1.032470703,-0.019775391,-0.026123047,-22.83969466,-4.763358779,1.702290076,-0.390688923
12:05:06.320,303,362,1.03515625,-0.014404297,-0.032714844,-22.83969466,-6.015267176,0.358778626,-0.461990699
12:05:06.396,304,363,1.039550781,-0.012939453,-0.036132813,-22.83969466,-6.549618321,1.633587786,-0.53651047
12:05:06.473,302,361,1.041503906,-0.018798828,-0.030517578,-22.71755725,-7.083969466,1.076335878,-0.614886813
12:05:06.549,302,359,1.034912109,-0.019775391,-0.037353516,-22.71755725,-7.885496183,0.534351145,-0.699769734
12:05:06.625,302,356,1.041015625,-0.016601563,-0.042724609,-22.71755725,-8.778625954,1.854961832,-0.791542619
12:05:06.701,302,355,1.041015625,-0.018798828,-0.031005859,-22.59541985,-9.259541985,1.251908397,-0.886287703
12:05:06.777,301,353,1.040283203,-0.016601563,-0.034912109,-22.96183206,-9.977099237,0.534351145,-0.986013939
12:05:06.853,301,351,1.034423828,-0.016845703,-0.032958984,-22.71755725,-10.77099237,2.061068702,-1.091423528
12:05:06.929,301,349,1.036376953,-0.024414063,-0.022705078,-22.59541985,-11.48091603,0.809160305,-1.20242214
12:05:07.006,300,347,1.039306641,-0.018798828,-0.045898438,-22.47328244,-12.21374046,1.022900763,-1.318421726
12:05:07.082,303,345,1.037109375,-0.021240234,-0.021484375,-22.71755725,-13.01526718,1.977099237,-1.440266848
12:05:07.158,302,343,1.035400391,-0.018066406,-0.032714844,-22.59541985,-13.77099237,0.236641221,-1.567013197
12:05:07.234,305,342,1.038818359,-0.017822266,-0.042724609,-22.47328244,-14.10687023,1.496183206,-1.69442068
12:05:07.310,306,341,1.039794922,-0.022705078,-0.022460938,-22.71755725,-14.80152672,1.603053435,-1.826539724
12:05:07.386,308,341,1.03515625,-0.011230469,-0.039794922,-22.83969466,-15.5648855,0.396946565,-1.962646251
12:05:07.463,312,341,1.036132813,-0.015869141,-0.046875,-22.83969466,-16.07633588,2.427480916,-2.100786206
12:05:07.539,314,341,1.041259766,-0.021240234,-0.035644531,-22.47328244,-16.47328244,0.93129771,-2.240405959
12:05:07.615,317,343,1.039306641,-0.027587891,-0.031494141,-22.71755725,-12.18320611,0.854961832,-2.336211895
12:05:07.691,318,342,1.037841797,-0.011230469,-0.040283203,-22.59541985,-7.755725191,2.465648855,-2.385829618
12:05:07.767,320,341,1.039550781,-0.026123047,-0.028564453,-22.47328244,-4.198473282,0.65648855,-2.400439397
12:05:07.843,317,342,1.037597656,-0.011962891,-0.038330078,-22.96183206,-1.694656489,0.778625954,-2.38942202
12:05:07.919,320,343,1.039550781,-0.018798828,-0.038330078,-22.71755725,-2.083969466,2.259541985,-2.38247253
12:05:07.996,317,340,1.040283203,-0.020263672,-0.032226563,-22.96183206,-2.748091603,0.221374046,-2.382359934
12:05:08.072,320,343,1.031738281,-0.015625,-0.051025391,-22.71755725,-2.564885496,1.007633588,-2.380128723
12:05:08.148,318,343,1.04296875,-0.022216797,-0.031982422,-22.71755725,-2.541984733,1.916030534,-2.378131003
12:05:08.224,318,341,1.030761719,-0.017578125,-0.026123047,-22.71755725,-2.511450382,-0.007633588,-2.375758903
12:05:08.300,320,343,1.037841797,-0.019042969,-0.052001953,-22.71755725,-2.381679389,1.335877863,-2.372204668
12:05:08.376,320,343,1.039306641,-0.025146484,-0.024902344,-22.96183206,-2.358778626,1.526717557,-2.369207365
12:05:08.453,320,343,1.03515625,-0.016845703,-0.032958984,-22.59541985,-2.229007634,-0.129770992,-2.364729521
12:05:08.529,320,343,1.038818359,-0.013916016,-0.038330078,-22.71755725,-2.190839695,2.618320611,-2.359394249
12:05:08.605,321,343,1.038330078,-0.024658203,-0.022460938,-22.83969466,-2.06870229,0.946564885,-2.353640424
12:05:08.681,305,342,1.038818359,-0.017822266,-0.042724609,-22.47328244,-14.10687023,1.496183206,-1.69442068
12:05:08.757,306,341,1.039794922,-0.022705078,-0.022460938,-22.71755725,-14.80152672,1.603053435,-1.826539724
12:05:08.833,308,341,1.03515625,-0.011230469,-0.039794922,-22.83969466,-15.5648855,0.396946565,-1.962646251
12:05:08.909,312,341,1.036132813,-0.015869141,-0.046875,-22.83969466,-16.07633588,2.427480916,-2.100786206
12:05:08.986,320,343,1.039306641,-0.024658203,-0.022949219,-22.59541985,-1.664122137,2.435114504,-2.31701345
12:05:09.062,320,341,1.033935547,-0.017578125,-0.031982422,-22.59541985,-1.580152672,0.27480916,-2.307616914
12:05:09.138,320,343,1.040283203,-0.015625,-0.040039063,-22.59541985,-1.58778626,1.671755725,-2.298056049
12:05:09.214,320,343,1.041015625,-0.0234375,-0.027587891,-22.83969466,-1.473282443,1.908396947,-2.288041008
12:05:09.290,324,341,1.038574219,-0.017089844,-0.031738281,-22.71755725,-1.389312977,0.053435115,-2.277137079
12:05:09.366,320,343,1.041992188,-0.015136719,-0.035400391,-22.59541985,-1.351145038,2.114503817,-2.265615089
12:05:09.443,320,343,1.037597656,-0.027099609,-0.026123047,-22.59541985,-1.183206107,1.381679389,-2.253590234
12:05:09.519,320,341,1.040283203,-0.015136719,-0.047363281,-22.59541985,-1.13740458,0.496183206,-2.240852557